"Time (s)","Acceleration (m/s²)"
1.698043838E1,7.025195170E-2
1.703038737E1,7.198250735E-2
1.708033037E1,6.614351799E-2
1.713026138E1,6.690326134E-2
1.718021838E1,5.906857983E-2
1.723016037E1,6.215096149E-2
1.728008937E1,6.956765296E-2
1.733003637E1,6.266357135E-2
1.737997138E1,6.059452587E-2
1.742994437E1,6.193802874E-2
1.747988437E1,7.132109498E-2
1.752982137E1,8.791425047E-2
1.757975737E1,6.966048573E-2
1.762971837E1,5.054160078E-2
1.767963838E1,3.390582639E-2
1.772960938E1,8.203094379E-2
1.777955037E1,8.532042378E-2
1.782949338E1,7.474400843E-2
1.787943937E1,5.914590926E-2
1.792937038E1,5.609410854E-2
1.797932537E1,6.348431578E-2
1.802927237E1,8.902124442E-2
1.807919338E1,7.739253308E-2
1.812915837E1,7.107516474E-2
1.817910437E1,5.418541198E-2
1.822904838E1,5.813279098E-2
1.827896837E1,7.161576358E-2
1.832890937E1,6.676076287E-2
1.837888037E1,6.069676992E-2
1.842880138E1,4.733241631E-2
1.847877038E1,5.509033210E-2
1.852871038E1,8.168045163E-2
1.857864037E1,7.280724432E-2
1.862860338E1,6.009500737E-2
1.867851637E1,7.380608123E-2
1.872848938E1,5.179778644E-2
1.877843537E1,6.581039938E-2
1.882835538E1,8.072046856E-2
1.887831937E1,6.898276603E-2
1.892825338E1,7.148569775E-2
1.897819837E1,5.404543877E-2
1.902814437E1,7.503942072E-2
1.907807337E1,9.065133760E-2
1.912804438E1,8.417938350E-2
1.917798637E1,9.349208581E-2
1.922792338E1,6.539757773E-2
1.927785137E1,5.795832057E-2
1.932782038E1,4.164088962E-2
1.937776738E1,8.616399792E-2
1.942769238E1,8.725584759E-2
1.947765238E1,6.575743365E-2
1.952757437E1,5.783591505E-2
1.957753337E1,7.519835444E-2
1.962748437E1,1.021980390E-1
1.967743137E1,8.406080744E-2
1.972737538E1,6.337347815E-2
1.977715812E1,4.462137259E-2
1.982709912E1,7.621068563E-2
1.987704812E1,8.496813634E-2
1.992697112E1,8.945236694E-2
1.997690312E1,5.064279324E-2
2.002688012E1,7.451101150E-2
2.007681313E1,6.885165044E-2
2.012676213E1,8.192965540E-2
2.017670812E1,8.662318342E-2
2.022665412E1,6.981484583E-2
2.027657313E1,4.921451717E-2
2.032651912E1,7.487668266E-2
2.037648812E1,8.607763912E-2
2.042643512E1,8.305122628E-2
2.047637813E1,7.394861808E-2
2.052630513E1,7.051276584E-2
2.057625613E1,7.572793859E-2
2.062621112E1,7.787334871E-2
2.067613612E1,1.013188882E-1
2.072609813E1,8.615771399E-2
2.077604312E1,7.463080176E-2
2.082595712E1,5.207269876E-2
2.087593313E1,7.110700649E-2
2.092587512E1,8.903571902E-2
2.097581812E1,8.203055002E-2
2.102576612E1,7.675198614E-2
2.107569513E1,5.255641288E-2
2.112565012E1,8.396654393E-2
2.117559812E1,9.715427646E-2
2.122554013E1,7.270889964E-2
2.127548113E1,9.437559187E-2
2.132540112E1,5.219685023E-2
2.137537112E1,6.959936954E-2
2.142529213E1,9.376077542E-2
2.147524312E1,9.592019967E-2
2.152518013E1,7.455503829E-2
2.157514913E1,5.969063541E-2
2.162509513E1,8.011488934E-2
2.167503112E1,6.902818611E-2
2.172498113E1,1.013896797E-1
2.177492512E1,8.649644137E-2
2.182484012E1,6.626000549E-2
2.187481312E1,7.255040263E-2
2.192476012E1,7.935391122E-2
2.197470213E1,8.219678544E-2
2.202462312E1,7.580491444E-2
2.207457713E1,6.954542167E-2
2.212453512E1,6.787490870E-2
2.217446812E1,7.634739444E-2
2.222440912E1,8.965783901E-2
2.227436712E1,7.382889999E-2
2.232431013E1,7.730303870E-2
2.237425713E1,5.784400842E-2
2.242419912E1,6.666835585E-2
2.247414213E1,8.263854441E-2
2.252408912E1,1.026957915E-1
2.257401612E1,8.214438525E-2
2.262397713E1,5.420635004E-2
2.267391813E1,6.621831759E-2
2.272386413E1,8.688081449E-2
2.277380313E1,7.881634745E-2
2.282374913E1,7.928030574E-2
2.287369512E1,6.116485324E-2
2.292363813E1,5.776949616E-2
2.297358613E1,8.500975390E-2
2.302352812E1,9.531999760E-2
2.307344612E1,8.895086130E-2
2.312340312E1,5.965473396E-2
2.317335913E1,6.113974767E-2
2.322330713E1,8.067388361E-2
2.327322712E1,8.154144139E-2
2.332316213E1,7.467514284E-2
2.337311112E1,7.654795851E-2
2.342305813E1,6.562012641E-2
2.347300313E1,6.881869225E-2
2.352294812E1,8.532628104E-2
2.357288612E1,9.442325216E-2
2.362285612E1,9.180930008E-2
2.367279013E1,6.519156114E-2
2.372273713E1,6.141359196E-2
2.377268812E1,7.867929146E-2
2.382260113E1,8.343190103E-2
2.387257712E1,8.192511741E-2
2.392251913E1,7.002128361E-2
2.397246312E1,6.099389710E-2
2.402240912E1,7.248763734E-2
2.407233812E1,6.583918412E-2
2.412229313E1,8.183557370E-2
2.417224113E1,7.754927957E-2
2.422218412E1,7.127152704E-2
2.427212513E1,6.432411482E-2
2.432204213E1,7.580279391E-2
2.437201612E1,9.027066558E-2
2.442193512E1,7.701114570E-2
2.447188613E1,6.143960568E-2
2.452182713E1,6.206752263E-2
2.457179012E1,7.811860743E-2
2.462173612E1,9.170228690E-2
2.467167913E1,6.809570687E-2
2.472162112E1,5.593196890E-2
2.477143921E1,6.007250473E-2
2.482137821E1,8.743558826E-2
2.487132421E1,7.859717005E-2
2.492127021E1,7.305702184E-2
2.497119621E1,5.636319466E-2
2.502112221E1,7.225451890E-2
2.507107821E1,8.144737065E-2
2.512104521E1,6.592326709E-2
2.517098821E1,7.787769392E-2
2.522093421E1,4.541694429E-2
2.527087521E1,6.706091233E-2
2.532082021E1,7.734841218E-2
2.537076621E1,8.398938188E-2
2.542068921E1,5.830703755E-2
2.547065121E1,4.485729997E-2
2.552059721E1,4.803479436E-2
2.557053121E1,8.474390841E-2
2.562048021E1,6.453965689E-2
2.567042621E1,7.862771627E-2
2.572037121E1,6.408379060E-2
2.577029221E1,5.976326834E-2
2.582026021E1,5.398141633E-2
2.587020321E1,6.003407756E-2
2.592012621E1,7.910862875E-2
2.597007821E1,7.403663420E-2
2.602002421E1,6.485980748E-2
2.606996521E1,5.509376780E-2
2.611992521E1,6.024059802E-2
2.616986521E1,6.675003688E-2
2.621981021E1,7.551907057E-2
2.626975521E1,5.254891611E-2
2.631969921E1,3.513274446E-2
2.636964021E1,6.360355604E-2
2.641956821E1,8.974960923E-2
2.646953021E1,8.199091046E-2
2.651944621E1,6.879343684E-2
2.656941321E1,4.705095647E-2
2.661936221E1,5.500035030E-2
2.666930421E1,3.732067023E-2
2.671925221E1,7.030439391E-2
2.676919221E1,6.830782193E-2
2.681913621E1,5.067177076E-2
2.686908321E1,4.147799213E-2
2.691901121E1,5.309158157E-2
2.696896821E1,8.857085167E-2
2.701891621E1,5.397119101E-2
2.706883421E1,5.517211318E-2
2.711879721E1,3.926944122E-2
